filename|statut|toencode|toclean|size|resolution|video_codec|bitrate|profile|audio_codec|sub|comment|modif
L'Agence (2011).mkv|ToClean|No|Yes|2.863|1080p|h264|3782|high|fre:ac3 fre:ac3 eng:ac3 |fre fre eng eng ||19/10/2020 16:24
12 Hommes en colère (1957).mkv|ToClean|No|Yes|3.471|1080p|h264|5047|high|fre:ac3 eng:ac3 |fre fre fre fre ||23/02/2024 21:26
2 Fast 2 Furious (2003).mkv|ToClean|No|Yes|3.713|1080p|h264|4825|high|fre:ac3 eng:ac3 |fre fre ||17/05/2023 18:19
2012 (2009).mkv||No|No|3.64|1080p|h264|3225|high|fre:ac3 |fre fre fre eng eng eng eng ||14/07/2021 23:18
3 Days to Kill (2014).mkv||No|No|2.559|1080p|h264|2925|high|fre:ac3 |fre ||04/01/2021 16:33
355 (2022).mkv|ToClean|No|Yes|3.044|1080p|h264|3468|high|fre:ac3 eng:ac3 |fre fre ||12/03/2023 17:40
60 secondes chrono (2000).mkv||No|No|3.805|1080p|h264|4510|high|fre:dts |fre fre ||20/10/2020 00:02
8 millimètres (1999).mkv||No|No|2.942|1080p|h264|3335|high|fre:ac3 |fre fre fre eng ||27/02/2021 10:08
Adam à travers le temps (2022).mkv||No|No|2.895|1080p|h264|3796|main|fre:eac3 |fre fre ||22/03/2022 21:03
After Earth (2013).mkv|ToClean|No|Yes|3.911|1080p|hevc|5465|main 10|fre:eac3 fre:eac3 eng:eac3 |fre fre fre eng eng ||01/02/2025 02:46
Air Force One (1997).mp4||No|No|1.383|1080p|h264|1485|high|und:aac |||26/07/2020 20:33
Alerte ! (1995).mkv||No|No|9.297|1080p|h264|10139|high|fre:ac3 |||14/04/2020 01:26
Alice au pays des merveilles (2010).mkv||No|No|2.446|1080p|h264|3150|high|fre:ac3 |fre eng eng ||18/08/2021 16:51
Alice de l'autre côté du miroir (2016).mkv||No|No|2.465|1080p|h264|3050|high|fre:ac3 |fre fre eng eng eng eng ||18/08/2021 16:05
Alien, la résurrection (1997).mkv||No|No|3.33|1080p|h264|4009|main|fre:mp3 |fre fre eng ||26/07/2021 13:45
Alien, le huitième passager (1979).mkv||No|No|3.376|1080p|h264|4075|main|fre:mp3 |fre fre eng ||25/07/2021 23:56
Alien- Romulus (2024).mkv|ToClean|No|Yes|9.468|1080p|h264|11053|high|fre:eac3 fre:eac3 fre:eac3 eng:eac3 |fre fre fre fre fre fre eng ||19/10/2024 14:58
Aliens, le retour (1986).mkv||No|No|2.856|1080p|h264|2585|high|fre:ac3 |fre ||26/07/2021 00:21
Alien - Covenant (2017).mkv||No|No|3.324|1080p|h264|3808|main|fre:ac3 fre:ac3 |fre eng fre fre spa fre eng eng spa ||26/07/2021 16:00
Alien³ (1992).mkv||No|No|2.679|1080p|h264|2585|high|fre:ac3 |fre ||26/07/2021 11:24
Ambulance (2022).mkv|ToClean|No|Yes|3.507|1080p|h264|3597|high|fre:ac3 eng:ac3 |fre fre ||07/01/2023 12:46
American Beauty (1999).avi||No|No|0.684|528|msmpeg4v3|683|???|???:mp3 |||16/01/2013 20:43
American History X (1998).avi||No|No|0.7|560|mpeg4|674|advanced simple profile|???:mp3 |||30/12/2012 15:16
American Psycho (2000).mkv|ToClean|No|Yes|2.374|1080p|h264|3247|high|fre:ac3 eng:ac3 fre:aac |fre fre eng ||28/01/2021 16:43
Anges et Démons (2009).mkv|ToClean|No|Yes|3.537|1080p|h264|3381|main|fre:aac eng:aac |fre eng fre ||04/04/2024 23:22
