todo,filename,status,comment,remove,index,codec_type,codec_name,resolution,width,height,frame_rate,profile,language,title,channel
False,L'Associé du diable (1997).mkv,,,False,0,video,h264,1080p,1920,800,24000/1001,High,,,
False,L'Associé du diable (1997).mkv,,,False,1,audio,ac3,,,,,,,Surround,5.1(side)
False,L'Associé du diable (1997).mkv,,,False,2,audio,ac3,,,,,,,Surround,5.1(side)
False,L'Associé du diable (1997).mkv,,,False,3,audio,aac,,,,,,,Stereo,stereo
False,L'Associé du diable (1997).mkv,,,False,4,subtitle,ass,,,,,,,,
False,L'Associé du diable (1997).mkv,,,False,5,subtitle,ass,,,,,,,,
False,12 Hommes en colère (1957).mkv,,,False,0,video,h264,1080p,1920,1080,24000/1001,High,,,
False,12 Hommes en colère (1957).mkv,,,False,1,audio,ac3,,,,,,fre,Mono,mono
False,12 Hommes en colère (1957).mkv,,,False,2,subtitle,subrip,,,,,,fre,FR forcés SRT,
False,12 Hommes en colère (1957).mkv,,,False,3,subtitle,subrip,,,,,,fre,FR complets SRT,
False,12 Hommes en colère (1957).mkv,,,False,4,subtitle,hdmv_pgs_subtitle,,,,,,fre,FR forcés PGS,
False,12 Hommes en colère (1957).mkv,,,False,5,subtitle,hdmv_pgs_subtitle,,,,,,fre,FR complets PGS,
False,2012 (2009).mkv,,,False,0,video,h264,1080p,1920,800,24000/1001,High,,,
False,2012 (2009).mkv,,,False,1,audio,ac3,,,,,,fre,AC3-5.1-VFF,5.1(side)
False,2012 (2009).mkv,,,False,2,subtitle,subrip,,,,,,fre,forced,
False,2012 (2009).mkv,,,False,3,subtitle,subrip,,,,,,fre,forced colored,
False,2012 (2009).mkv,,,False,4,subtitle,subrip,,,,,,fre,full,
False,3 Days to Kill (2014).mkv,,,False,0,video,h264,1080p,1920,808,24000/1001,High,,,
False,3 Days to Kill (2014).mkv,,,False,1,audio,ac3,,,,,,fre,,5.1(side)
False,3 Days to Kill (2014).mkv,,,False,2,subtitle,subrip,,,,,,fre,Sous-titres Fr Complets,
False,355 (2022).mkv,,,False,0,video,h264,1080p,1920,800,24000/1001,High,,,
False,355 (2022).mkv,,,False,1,audio,ac3,,,,,,fre,,5.1(side)
False,355 (2022).mkv,,,False,2,subtitle,subrip,,,,,,fre,Forced,
False,355 (2022).mkv,,,False,3,subtitle,subrip,,,,,,fre,French,
False,60 secondes chrono (2000).mkv,,,False,0,video,h264,1080p,1920,1080,24000/1001,High,,,
False,60 secondes chrono (2000).mkv,,,False,1,audio,dts,,,,,,fre,,5.1(side)
False,60 secondes chrono (2000).mkv,,,False,2,subtitle,subrip,,,,,,fre,SRT FR Forces,
False,60 secondes chrono (2000).mkv,,,False,3,subtitle,subrip,,,,,,fre,SRT FR Complets,
False,8 millimètres (1999).mkv,,,False,0,video,h264,1080p,1920,814,24000/1001,High,,,
False,8 millimètres (1999).mkv,,,False,1,audio,ac3,,,,,,fre,AC3-5.1-VFF,5.1(side)
False,8 millimètres (1999).mkv,,,False,2,subtitle,subrip,,,,,,fre,forced,
False,8 millimètres (1999).mkv,,,False,3,subtitle,subrip,,,,,,fre,forced colored,
False,8 millimètres (1999).mkv,,,False,4,subtitle,subrip,,,,,,fre,full,
False,Adam à travers le temps (2022).mkv,,,False,0,video,h264,1080p,1920,1080,24/1,Main,,,
False,Adam à travers le temps (2022).mkv,,,False,1,audio,eac3,,,,,,fre,French,5.1(side)
False,Adam à travers le temps (2022).mkv,,,False,2,subtitle,subrip,,,,,,fre,French [Forced],
False,Adam à travers le temps (2022).mkv,,,False,3,subtitle,subrip,,,,,,fre,French,
False,After Earth (2013).mkv,,,False,0,video,hevc,1080p,1920,804,24000/1001,Main 10,,,
False,After Earth (2013).mkv,,,False,1,audio,eac3,,,,,,fre,Français 5.1 EAC3 448kbps 48khz 16bits,5.1(side)
False,After Earth (2013).mkv,,,False,2,subtitle,subrip,,,,,,fre,Français forcé (Passages),
False,After Earth (2013).mkv,,,False,3,subtitle,subrip,,,,,,fre,Français complet (Tous le film),
False,After Earth (2013).mkv,,,False,4,subtitle,hdmv_pgs_subtitle,,,,,,fre,Français complet (Tous le film) PGS,
False,Air Force One (1997).mkv,,,False,0,video,h264,1080p,1920,800,24000/1001,Main,,,
False,Air Force One (1997).mkv,,,False,1,audio,truehd,,,,,,fre,Surround 5.1,5.1(side)
False,Air Force One (1997).mkv,,,False,2,subtitle,hdmv_pgs_subtitle,,,,,,fre,,
False,Air Force One (1997).mkv,,,False,3,subtitle,hdmv_pgs_subtitle,,,,,,fre,,
False,Alerte ! (1995).mkv,,,False,0,video,h264,1080p,1920,1080,24000/1001,High,,,
False,Alerte ! (1995).mkv,,,False,1,audio,ac3,,,,,,fre,FRENCH,5.1(side)
False,Alice au pays des merveilles (2010).mkv,,,False,0,video,h264,1080p,1920,1080,24000/1001,High,,,
False,Alice au pays des merveilles (2010).mkv,,,False,1,audio,ac3,,,,,,fre,Français VFF AC3 5.1 @ 448 Kbps,5.1(side)
False,Alice au pays des merveilles (2010).mkv,,,False,2,subtitle,subrip,,,,,,fre,Français Complets,
False,Alice de l'autre côté du miroir (2016).mkv,,,False,0,video,h264,1080p,1920,1040,24000/1001,High,,,
False,Alice de l'autre côté du miroir (2016).mkv,,,False,1,audio,ac3,,,,,,fre,Français VFF AC3 5.1 @ 448 Kbps,5.1(side)
False,Alice de l'autre côté du miroir (2016).mkv,,,False,2,subtitle,subrip,,,,,,fre,Français Forcés,
False,Alice de l'autre côté du miroir (2016).mkv,,,False,3,subtitle,subrip,,,,,,fre,Français Complets,
False,"Alien, la résurrection (1997).mkv",,,False,0,video,h264,1080p,1920,816,13978/583,Main,,,
False,"Alien, la résurrection (1997).mkv",,,False,1,audio,mp3,,,,,,fre,MP3 128 kbps,stereo
False,"Alien, la résurrection (1997).mkv",,,False,2,subtitle,subrip,,,,,,fre,fr forcé,
False,"Alien, la résurrection (1997).mkv",,,False,3,subtitle,subrip,,,,,,fre,full fr,
False,"Alien, le huitième passager (1979).mkv",,,False,0,video,h264,1080p,1920,816,13978/583,Main,,,
False,"Alien, le huitième passager (1979).mkv",,,False,1,audio,mp3,,,,,,fre,MP3 128 kbps,stereo
False,"Alien, le huitième passager (1979).mkv",,,False,2,subtitle,subrip,,,,,,fre,fr forcé,
False,"Alien, le huitième passager (1979).mkv",,,False,3,subtitle,subrip,,,,,,fre,full fr,
False,Alien- Romulus (2024).mkv,,,False,0,video,h264,1080p,1920,800,24/1,High,,,
False,Alien- Romulus (2024).mkv,,,False,1,audio,eac3,,,,,,fre,VFF,5.1(side)
False,Alien- Romulus (2024).mkv,,,False,2,subtitle,subrip,,,,,,fre,VFF Forced,
False,Alien- Romulus (2024).mkv,,,False,3,subtitle,subrip,,,,,,fre,VFF,
True,"Aliens, le retour (1986).mkv",ToDo,To clean,False,0,video,h264,1080p,1920,1038,24000/1001,High,,,
True,"Aliens, le retour (1986).mkv",ToDo,To clean,False,1,audio,ac3,,,,,,fre,VFF 5.1,5.1(side)
True,"Aliens, le retour (1986).mkv",ToDo,To clean,False,2,subtitle,subrip,,,,,,fre,Forced,
True,"Aliens, le retour (1986).mkv",ToDo,To clean,True,3,video,mjpeg,600x800,600,800,0/0,Progressive,,,
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,0,video,h264,1080p,1920,800,24000/1001,Main,,,
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,1,audio,ac3,,,,,,fre,VFF AC3 5.1 @448kbps,stereo
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,2,audio,ac3,,,,,,fre,VFQ AC3 5.1 @448kbps,stereo
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,3,subtitle,subrip,,,,,,fre,Francais Forces,
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,4,subtitle,subrip,,,,,,eng,ENG Full SDH,
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,5,subtitle,hdmv_pgs_subtitle,,,,,,fre,FR Forced PGS,
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,6,subtitle,subrip,,,,,,fre,Francais Complets,
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,7,subtitle,hdmv_pgs_subtitle,,,,,,spa,SPA Full PGS,
True,Alien - Covenant (2017).mkv,ToDo,To clean,False,8,subtitle,hdmv_pgs_subtitle,,,,,,fre,FR Full PGS,
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,9,subtitle,hdmv_pgs_subtitle,,,,,,eng,ENG Full SDH PGS,
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,10,subtitle,subrip,,,,,,eng,ENG Full,
True,Alien - Covenant (2017).mkv,ToDo,To clean,True,11,subtitle,subrip,,,,,,spa,SPA F ull,
True,Alien³ (1992).mkv,ToDo,To clean,False,0,video,h264,1080p,1920,810,24000/1001,High,,,
